experiment_id	n_pooled	donor_vcf_ids	data_path_10x_format
6123STDY11066014	2	"none"	/lustre/scratch119/humgen/projects/anderson_organoids/otar_mucosal/stimulation_IFNg_cellranger/cellranger310_count_41427_6123STDY11066014_GRCh38-3_0_0
6123STDY11066015	2	"none"	/lustre/scratch119/humgen/projects/anderson_organoids/otar_mucosal/stimulation_IFNg_cellranger/cellranger310_count_41427_6123STDY11066015_GRCh38-3_0_0
6123STDY11066016	2	"none"	/lustre/scratch119/humgen/projects/anderson_organoids/otar_mucosal/stimulation_IFNg_cellranger/cellranger310_count_41427_6123STDY11066016_GRCh38-3_0_0
6123STDY11066017	2	"none"	/lustre/scratch119/humgen/projects/anderson_organoids/otar_mucosal/stimulation_IFNg_cellranger/cellranger310_count_41742_6123STDY11066017_GRCh38-3_0_0
6123STDY11066018	2	"none"	/lustre/scratch119/humgen/projects/anderson_organoids/otar_mucosal/stimulation_IFNg_cellranger/cellranger310_count_41742_6123STDY11066018_GRCh38-3_0_0
